date,locality,state,type,claims,size_mean,arrests
2014-08-21,York,PA,demonstration,Police brutality; Police accountability; Race relations,,0
2014-08-22,Belleville,IL,demonstration,Support for law enforcement; Police violence; Racial discrimination; Justice for Michael Brown,,0
2014-08-22,Ferguson,MO,demonstration,police violence; Investigation of Michael Brown shooting; Racial discrimination; Police brutality; Racial injustice; Racial tensions; Indict Officer Darren Wilson; police accountability; Investigate Michael Brown shooting; Police violence; Justice for Michael Brown,,0
2014-08-22,Greensboro,NC,demonstration,Stop police violence; Racial justice; Police violence; Justice for Michael Brown,,0
2014-08-22,Milwaukee,WI,demonstration,Diversify police force; Implement body-camera legislation; Justice for Dontre Hamilton; Race relations; Racial justice; Improve police-community relations; Police brutality; racial justice; Limit military-grade weapons; Release state review findings; Release findings of police shooting investigation; Release state investigation findings; police brutality; Police violence; Justice for Michael Brown,100.0,0
2014-08-22,Phoenix,AZ,demonstration,Investigate police shooting; Police brutality; Mental health; Police use of force; Mental health intervention; Independent investigation of shooting; Police accountability,,0
2014-08-22,Winston-Salem,NC,demonstration,police brutality; Stop police violence; Protect black lives; racial justice,,0
2014-08-23,Elgin,IL,demonstration,Racial injustice; Police violence; Justice for Michael Brown,,0
2014-08-23,Ferguson,MO,demonstration,Peaceful resolution; Police violence; Racial justice; Racial Discrimination; Racial inequality; Racial discrimination; Police brutality; Racial injustice; Racial tensions; Accountability for Michael Brown shooting; Information about Michael Brown shooting; Police accountability; Police Brutality; Michael Brown shooting; Justice for Michael Brown,300.0,2
2014-08-23,Greensboro,NC,demonstration,Police brutality; Racial justice; Recognition of Black lives,,0
2014-08-23,Los Angeles,CA,demonstration,Police brutality; File charges against CHP Officer Daniel Andrew; Racial injustice,,0
2014-08-23,Princeton,NJ,demonstration,police violence; End police violence against black men; racial justice; End racial profiling; police brutality; Justice for Michael Brown,100.0,0
2014-08-23,Roanoke,VA,demonstration,Police accountability; Racial justice; Police violence; Racial inequality,,0
2014-08-23,Sarasota,FL,demonstration,Police brutality; Racial justice; Stop extrajudicial killing of young black men; Hold law enforcement accountable,,0
2014-08-23,Savannah,GA,demonstration,racial discrimination; police brutality; Address racial discrimination; End police violence,,0
2014-08-23,St. Louis,MO,demonstration,Police Shooting; Police shooting; Support for Police Officer Darren Wilson; Support for Darren Wilson; Indictment of Darren Wilson; Support for Officer Wilson; Racial injustice; Support law enforcement; Law Enforcement Defense; Support for Officer Darren Wilson; Racial tensions; Police accountability; Withhold judgment on Michael Brown shooting; Michael Brown case; Police violence,100.0,0
2014-08-23,St. Petersburg,FL,demonstration,racial discrimination; police violence; justice for Ferguson teenager,,0
2014-08-23,Staten Island,NY,demonstration,Stop police brutality against Black men; Racial Discrimination; Stop police brutality; racial justice; Hold police officers accountable; Racial justice; Federal investigation of police conduct; Federal investigation of Garner's death; Racial discrimination; End of aggressive policing; Racial injustice; End to police brutality; End police brutality; Police violence; Justice for Michael Brown; Federal investigation of police misconduct; Criminal investigation of officers; Justice for victims of police violence; Racial Injustice; racial injustice; Criminal charges against NYPD officers; Federal investigation into Garner's death; Prosecute Officer Daniel Pantaleo; police brutality; Stop police violence; Federal investigation; Federal investigation of police brutality; Police Brutality; Justice for Eric Garner; Criminal charges against police officers; Federal investigation of Eric Garner's death; Police brutality; Accountability for police; Police accountability,2.0,0
2014-08-24,Allentown,PA,demonstration,Police violence,,0
2014-08-24,Bridgeport,CT,demonstration,Community solidarity; Community dialogue; Police brutality; Racial injustice; Preventing civil unrest; Community relations; Police accountability; Racial justice,,0
2014-08-24,Cookeville,TN,demonstration,Police brutality; Community relations; Strengthen inter-racial relationships; Promote understanding between races; Racial justice,,0
2014-08-24,Merced,CA,demonstration,Racial injustice; More people of color on Ferguson grand jury; Police violence; Charges against Officer Darren Wilson,,0
2014-08-24,Miami,FL,demonstration,police brutality; End police brutality; racial justice; Justice for Michael Brown,,0
2014-08-24,St. Louis,MO,demonstration,Police Violence; File charges against Officer Darren Wilson; Community solidarity; End Police Violence; End to violence; Nonviolence; Racial Injustice; Racial discrimination; Police brutality; Peace; Racial justice; Community healing; Police violence; Justice for Michael Brown,,0
2014-08-24,Staten Island,NY,demonstration,Police brutality; Criminal charges for police officers; Racial justice; Investigation into Eric Garner's death,,0
2014-08-25,Birmingham,AL,demonstration,Police violence; Establish Police Review Committee; Racial discrimination,,0
2014-08-25,Daytona Beach,FL,demonstration,Peace; Police violence; Racial discrimination; Justice for Michael Brown,,0
2014-08-25,Durham,NC,demonstration,Vote for change; Racial justice; Police reform; Police brutality; Voting participation; Community action; Vote; Policy change through voting; Police accountability; Police violence,100.0,0
2014-08-25,Ferguson,MO,demonstration,Police Reform; Police Violence; Justice; police violence; racial discrimination; Racial Injustice; Racial discrimination; Police reform; Police brutality; Racial injustice; Accountability; Racial Justice; Federal investigation; Racial justice; Police violence; Justice for Michael Brown,4.0,0
2014-08-25,Milwaukee,WI,demonstration,Federal DOJ investigation of police brutality; Transparency in police shooting investigations; Body cameras for police; Federal oversight of officer-involved shootings; Civil rights investigations; Investigate deaths as civil rights abuses; Racial discrimination; Release officer's name who shot Dontre Hamilton; Police brutality; Federal oversight of police shootings; Body cameras for police officers; Federal investigation of police brutality; Police violence; Release officer names,,0
2014-08-25,Northampton,MA,demonstration,Racial injustice; Police brutality,,0
2014-08-25,Rock Hill,SC,demonstration,police violence; Police brutality; racial injustice; Justice for Mike Brown; Racial justice; Justice for Michael Brown,,0
2014-08-25,Salt Lake City,UT,demonstration,Police brutality; Racial justice; Justice for Dillon Taylor; End police brutality,,0
2014-08-25,St. Louis,MO,demonstration,Police Violence; Fight for Rights; Racial justice; Police Reform; Address racial injustice; Defend Officer Wilson; Racial discrimination; Racial injustice; Racial tensions; Recognize Injustice; Police violence; Justice for Michael Brown; Racial inequality; Racial Injustice; Police reform; Racial Justice; End police violence; Hold Wilson accountable; Police brutality; Police Accountability,4.0,0
2014-08-26,Peoria,IL,demonstration,Address systematic racism; Hold police accountable; Swift investigation of Michael Brown's death; Racial discrimination; Racial injustice; Investigate Michael Brown shooting; Police violence,,0
2014-08-26,Portland,ME,demonstration,Address structural racism; Racial justice; Police brutality; Police transparency,,0
2014-08-26,San Antonio,TX,demonstration,Police brutality; Stop police brutality,45.0,0
2014-08-26,St. Louis,MO,demonstration,Appointment of special prosecutor; Amnesty for protesters; Expanded DOJ investigation into police civil rights violations; Justice for Mike Brown; racial justice; Removal of St. Louis County Prosecutor Robert McCulloch; Create civilian review board to monitor police shootings; Create civilian police oversight board; Removal of St. Louis County Prosecutor; Racial justice; Accountability for police shootings; Create civilian police review board; Racial injustice; Create civilian review board for police shootings; Police violence; Justice for Michael Brown; Justice for Kajieme Powell; Police reform; Civilian police oversight board; Amnesty for arrested protesters; police brutality; Police brutality; Convict police officers involved in shootings; Firing of Ferguson Police Chief Thomas Jackson; Broad reforms to local and federal law enforcement,100.0,0
2014-08-27,Charleston,IL,demonstration,Racial injustice; Police violence; Justice for Michael Brown,,0
2014-08-27,Chicago,IL,demonstration,Identify officer involved in shooting; Police violence; Systemic racism; Justice for police crime victims; Police brutality; Racial injustice; Justice for Roshad McIntosh; Apology from city; Police accountability; police brutality; Change in community policing; Disciplinary action; Identify shooting officer; police shooting,500.0,0
2014-08-27,Hartford,CT,demonstration,Police brutality; Investigate stun gun use; Drop breach of peace charge; Racial discrimination,,0
2014-08-27,San Antonio,TX,demonstration,Investigate campus police shooting; police brutality; Justice for Cameron Redus; campus safety,50.0,0
2014-08-27,St. Louis,MO,demonstration,Investigation of police shootings; Police reforms; Civilian police review board; Law enforcement reforms; Police reform; Police brutality; Civilian police oversight board; Racial injustice; Create civilian police oversight board; Racial justice; Police violence,100.0,0
2014-08-28,Camden,NJ,demonstration,Police dialogue; Racial injustice; Police brutality; Address systemic issues; Police violence; Justice for Michael Brown,,0
2014-08-28,Ferguson,MO,demonstration,Respect for First Amendment rights; Mayor's resignation; Accountability for police actions; Racial Discrimination; Racial discrimination; Police brutality; Police Brutality; Police violence; Justice for Michael Brown,,0
2014-08-28,Frederick,MD,demonstration,police brutality; Police accountability; racial justice,,0
2014-08-28,Las Vegas,NV,demonstration,Police violence; Transparency in law enforcement; Police accountability; Racial discrimination,100.0,0
2014-08-28,Murray,KY,demonstration,Police violence; Police accountability; Racial discrimination; Justice for Michael Brown,,0
2014-08-28,North Las Vegas,NV,demonstration,End police militarization; Increase police accountability; Require body cameras for police officers; Racial discrimination; Police brutality; racial justice; Stop targeting young black men; police accountability; police brutality; Police accountability,100.0,0
2014-08-28,Pasadena,CA,demonstration,Police brutality; Racial justice; Improved police-community relations; End police brutality,100.0,0
2014-08-28,Virginia Beach,VA,demonstration,racial injustice; police brutality; justice for Michael Brown,,0
2014-08-28,Washington,DC,demonstration,Assign body cameras to police officers; Life sentences for cops killing unarmed civilians; Racial discrimination; Police brutality; Remove military equipment from police; Arrest Officer Darren Wilson,,0
2014-08-28,Wichita,KS,demonstration,Improved police-community relations; Improve police-community relations; Police brutality; racial justice; Police body cameras; police brutality; Racial justice; Address racial discrimination,,0
2014-08-29,Jersey City,NJ,demonstration,Police violence; Justice for Michael Brown; Racial discrimination; Justice for Eric Garner,,0
2014-08-29,Milwaukee,WI,demonstration,Police brutality; Mental health; Answers about police shooting,,0
2014-08-30,Beavercreek,OH,demonstration,Release surveillance tape; Release Wal-Mart surveillance tape; investigate shooting; Racial justice; Racial discrimination; Police brutality; Racial injustice; Release police shooting surveillance video; racial injustice; police brutality; Release surveillance video; release surveillance video; Federal investigation; Police accountability,200.0,0
2014-08-30,Charlotte,NC,demonstration,Justice for Eric Gardner; Increase police accountability; Police brutality; Increase police diversity; Justice for Michael Brown; Racial justice; Justice for Jonathan Ferrell,,0
2014-08-30,Columbus,OH,demonstration,Gun violence; Racism; Achieve justice and equality; Police brutality; Promote peace; End racism,,0
2014-08-30,Ferguson,MO,demonstration,Police Violence; racial justice; Investigate Shooting; Civil rights investigation; Racial justice; Federal civil rights investigation; police violence; Racial discrimination; Investigate civil rights violations; Racial injustice; End racial profiling; Police violence; Charge Darren Wilson; Justice for Michael Brown; Investigation of police shooting; Federal investigation of shooting; Federal intervention; Racial Justice; Federal investigation; Arrest Officer Darren Wilson; Remove Prosecutor Robert McCulloch; Charge Officer Darren Wilson; Police brutality; Police accountability,1.0,1
2014-08-30,Goshen,IN,demonstration,Police brutality; Racial justice; Stop police militarization; Equal treatment,,0
2014-08-30,Ogden,UT,demonstration,Put video cameras on all police uniforms; Third-party investigations of police misconduct; Protect officers who speak out against brutality; Police Accountability; Police Brutality,,0
2014-08-30,St. Louis,MO,demonstration,Support for Darren Wilson; Police brutality; Racial tensions; Support for Officer Darren Wilson; Racial conflict; Justice for Michael Brown,,0
2014-08-31,Albuquerque,NM,demonstration,Police brutality; Police reforms; Racial discrimination; Investigation of excessive force,,0
2014-08-31,Los Angeles,CA,demonstration,Police brutality; Investigation of police brutality; Racial discrimination,,0
2014-09-02,Columbia,SC,demonstration,Community Understanding; Police Brutality; Racial Tensions; Dialogue about Racial Tensions,,0
2014-09-04,Milwaukee,WI,demonstration,Police brutality; Police oversight; Body cameras for police,2.0,0
2014-09-04,Springfield,IL,demonstration,Police brutality; Improved community relations; Police accountability; Racial discrimination,,0
2014-09-05,Charlottesville,VA,demonstration,End to racial profiling; Racism; Racial justice; Police brutality; Police accountability,100.0,0
2014-09-05,Waterville,ME,demonstration,Support for Darren Wilson; police brutality; racial tensions,,0
2014-09-06,Beavercreek,OH,demonstration,Truth about shooting; Justice for John Crawford III; Racial discrimination; Police brutality; Seek truth about shooting; Police violence,,0
2014-09-06,Charleston,SC,demonstration,Police brutality; Stop police killings of black men; Racial discrimination,,0
2014-09-07,Madison,WI,demonstration,Address racial disparities; Police body cameras; Police procedure reform; Racial Justice; Police Brutality,,0
2014-09-09,Ferguson,MO,demonstration,Police Violence; Municipal court reform; Minority Hiring in Police Force; Police department reform; Minority hiring in police force; Racial justice; Reform law enforcement practices; Police Reform; Mayor's resignation; Reduce municipal court fines; Racial discrimination; Racial injustice; Municipal Court Reform; Create citizens' review board; Police violence; Justice for Michael Brown; Racial Injustice; Police reform; Racial Justice; Police Department Accountability; Police Brutality; Police Department Reform; Citizen police review board; Arrest of Officer Darren Wilson; Immediate arrest of Officer Darren Wilson; Police Officer Darren Wilson's Arrest; Police brutality; Darren Wilson's Arrest; Racial Inequality; Citizen Police Review Board; Reduce discriminatory fines,,0
2014-09-10,Amherst,MA,demonstration,Acknowledge racism; Address systemic racism; Racial discrimination; Police brutality; Stop police killings of unarmed black people; Raise awareness about black shooting victims; Prevent police killings of unarmed black people; Speak out against racial violence; Racial justice; End police violence,75.0,0
2014-09-10,Berkeley,MO,demonstration,Remove Prosecutor Bob McCulloch; Racial justice; Remove St. Louis County prosecutor Bob McCulloch; Racial discrimination; Police brutality; Appoint special prosecutor; Arrest Darren Wilson; Police violence; Justice for Michael Brown,150.0,35
2014-09-10,Ferguson,MO,demonstration,Police brutality; Racial justice; Racial injustice; Justice for Michael Brown,150.0,35
2014-09-10,Normandy,MO,demonstration,Racial discrimination; Removal of Prosecutor Robert McCulloch; Police brutality; Prosecutor Robert McCulloch's recusal; Police accountability; Justice for Michael Brown,150.0,36
2014-09-10,St. Louis County,MO,demonstration,Police brutality; Racial justice; Police accountability; Prosecutor replacement,100.0,0
2014-09-10,St. Louis,MO,demonstration,Police brutality; Racial justice; Appoint special prosecutor; Prosecutorial accountability,,125
2014-09-11,Ferguson,MO,demonstration,Pressure Police Chief Thomas Jackson to step down; Police brutality; Pressure Mayor James Knowles to step down; Racial discrimination,,0
2014-09-11,St. Petersburg,FL,demonstration,Mandatory body cameras; Police brutality; Police accountability; Racial justice; End police brutality,,0
2014-09-12,Lafayette,LA,demonstration,Police brutality; Release of surveillance video; Racial injustice; Independent shooting investigation,,0
2014-09-12,Providence,RI,demonstration,Value Black lives; Protest police brutality; Social justice; Police brutality; Racial justice,100.0,0
2014-09-13,Bradenton,FL,demonstration,Investigate police shootings; Police brutality; Investigate police actions; Seek justice for shooting victims; Racial justice,20.0,0
2014-09-13,Chicago,IL,demonstration,Police brutality; Investigation of police shooting; Racial profiling,,0
2014-09-13,Clayton,MO,demonstration,police brutality; Arrest Officer Darren Wilson; Arrest of Officer Darren Wilson; racial justice,,0
2014-09-16,Clayton,MO,demonstration,Remove Prosecutor Bob McCulloch; Prevent Steve Stenger's election; Remove county prosecutor; Racial justice; Resign police chiefs; Remove Robert McCulloch as prosecutor; Racial discrimination; Police brutality; Racial injustice; Remove Bob McCulloch; Appoint special prosecutor; Arrest Darren Wilson; Police violence,,0
2014-09-17,Chicago,IL,demonstration,Police brutality; Racial justice; Police accountability,,0
2014-09-20,Ferguson,MO,demonstration,Remove St. Louis County Prosecuting Attorney; Establish Citizen Review Board; Racial justice; Police brutality; Racial injustice; Citizen Review Board creation; Police accountability,,3
2014-09-21,St. Louis,MO,demonstration,Police brutality; Arrest Darren Wilson; Racial injustice,,0
2014-09-22,Xenia,OH,demonstration,Police violence; Pursue criminal charges against police; Release Walmart surveillance video; Racial discrimination,,0
2014-09-23,Ferguson,MO,demonstration,Racial Discrimination; Police brutality; Racial injustice; Racial tensions; Police Brutality; Police violence; Justice for Michael Brown,,5
2014-09-24,Milwaukee,WI,demonstration,Release officer's name; Charge officer who shot Dontre Hamilton; Report on officer's injuries; Police brutality; Decision on officer charging; Police Brutality; Public release of officer's name; Racial Justice; Release report on officer's injuries; Racial justice; Decision by Milwaukee County district attorney,20.0,0
2014-09-25,Ferguson,MO,demonstration,Charges against Darren Wilson; Police Violence; Racial Discrimination; Police Chief Thomas Jackson's resignation; Racial justice; Charges against Officer Darren Wilson; Charges Against Darren Wilson; Police Chief Resignation; Racial discrimination; Charges against police officer; Racial injustice; Police Chief's resignation; Racial tensions; Justice for Michael Brown; Racial Justice; Police Brutality; Police brutality; Police Accountability; Police accountability; Community trust,,3
2014-09-26,Ferguson,MO,demonstration,Charges against Officer Darren Wilson; NOT PROVIDED; Police brutality; Police accountability; Racial justice,,0
2014-09-26,Washington,PA,demonstration,Child safety; Justice for Taniyah Thomas; Community violence,,0
2014-09-27,Brooklyn,NY,demonstration,Police misconduct,,0
2014-09-27,Ferguson,MO,demonstration,Racial injustice; Police violence; Justice for Michael Brown,,0
2014-09-27,Jersey City,NJ,demonstration,Police brutality; Racial discrimination; Stop police brutality,,0
2014-09-27,Savannah,GA,demonstration,Police brutality; Transparent investigation; Officer-involved shooting,,0
2014-09-27,Staten Island,NY,demonstration,Police support,,0
2014-09-28,Ferguson,MO,demonstration,Police misconduct; Police brutality; Police accountability; Protest police actions; Racial justice; Arrest Darren Wilson,300.0,8
2014-09-28,Greenville,NC,demonstration,Structural law enforcement reform; Improve police-community relations; Police brutality; Racial justice; End police violence,,0
2014-09-29,Cincinnati,OH,demonstration,police brutality; DOJ investigation; Police accountability; racial justice,,0
2014-09-29,Ferguson,MO,demonstration,Racial justice; Police misconduct; Police brutality; Protest police actions; Police accountability,,1
2014-10-02,Pullman,WA,demonstration,Police brutality; Raise awareness about police brutality; Racial justice,,0
2014-10-03,Ferguson,MO,demonstration,Racial discrimination; Racial injustice; Police accountability; Police violence; Justice for Michael Brown,,6
2014-10-04,Salt Lake City,UT,demonstration,Expand body camera usage; Police Brutality; Remove military-grade weapons from police; Require civilian review boards for police shootings,100.0,0
2014-10-04,St. Louis,MO,demonstration,Racial discrimination; Police brutality; Racial Justice; Racial justice; Police Brutality; Police violence; Justice for Michael Brown,,0
2014-10-06,St. Louis,MO,demonstration,Challenge racism; Racial discrimination; Justice for Mike Brown; Racial justice; Police violence,100.0,0
2014-10-08,Beavercreek,OH,demonstration,Police brutality; Arrest of police officer who shot John Crawford; Racial justice,,0
2014-10-08,St. Louis,MO,demonstration,Police Violence; Special panel to investigate police profiling; Racial Discrimination; Stop police brutality; Special Panel on Police Profiling; Racial justice; NOT PROVIDED; Racial discrimination; Racial injustice; Special panel investigation; Police violence; Investigation of police shooting; Federal investigation of shooting; Justice Department Investigation; Stop police shootings; Federal investigation; Justice Department investigation; Racial profiling; Police brutality; Justice for VonDerrit Myers Jr.; Police accountability,20.0,0
2014-10-09,Boston,MA,demonstration,Receipts for police stops; Racial justice; Police body cameras; Automatic stop data publication; Police accountability,,0
2014-10-09,St. Louis,MO,demonstration,Racial Discrimination; Justice for Vonderrit Myers; Racial justice; Federal investigation of police shooting; Racial discrimination; Federal Investigation of Shooting; Racial injustice; Racial tensions; Arrest of police officers; Police violence; Investigation of police shooting; Investigate police shootings; Police Brutality; Justice Department investigation; Racial profiling; Federal investigation into shooting; Stop racial profiling; Federal investigation into police shooting; Justice for Vonderrit Myers Jr.; Police brutality; Stop killing us; Justice for shooting victims; Police accountability,100.0,1
2014-10-10,Clayton,MO,demonstration,Prosecute police officers; racial justice; Stop racially motivated police shootings; Racial justice; Remove Prosecutor McCulloch; Racial discrimination; Racial injustice; End racial profiling; Police violence; Justice for Michael Brown; Charge Darren Wilson; Investigate police shootings; Racial Injustice; Racial Justice; Remove Bob McCulloch from Michael Brown case; police brutality; Investigation of Michael Brown's shooting; Police Brutality; Prosecutor Bob McCulloch step aside; Police brutality; Arrest Darren Wilson,,0
2014-10-10,Ferguson,MO,demonstration,Right to peaceful assembly; Police violence; Racial justice; Racial discrimination; Racial injustice; racial injustice; racial justice; police brutality; Justice for Michael Brown; Stop police violence; Police accountability; End police violence; Restore free speech rights,,0
2014-10-10,St. Louis,MO,demonstration,Justice Department investigation; racial discrimination; Racial justice; NOT PROVIDED; Stop police brutality; Police brutality; Racial injustice; racial injustice; racial justice; Protest police shootings; police brutality; Stop police violence; Police accountability; Charge Darren Wilson,200.0,0
2014-10-11,Ferguson,MO,demonstration,Right to peaceful assembly; Restore free speech rights; Police Violence; Civil Rights; Accountability for Michael Brown's shooting; Police violence; Police accountability; Racial discrimination; Police brutality; Racial injustice; Accountability for Michael Brown shooting; Racial justice; End police violence; Justice for Michael Brown,,0
2014-10-11,St. Louis,MO,demonstration,Racial Discrimination; Stop police brutality; Prosecute police officers; racial justice; Justice for victims of police shootings; Racial justice; End of police brutality; Investigation of police shootings; police violence; Accountability for police shootings; NOT PROVIDED; Racial discrimination; Change police interactions with black youth; Racial injustice; Stop fatal police shootings; End racial profiling; Community protection; Police accountability; racial violence; Police violence; Charge Darren Wilson; Justice for Michael Brown; Stop police shootings; police accountability; Racial Justice; police brutality; Stop police violence; Stop police shootings of black males; Police Brutality; End police violence; Racial profiling; End police violence against Black people; Police brutality; Investigate Vonderrit Myers shooting; Arrest Darren Wilson,1.0,0
2014-10-12,St. Louis,MO,demonstration,End racial inequality; Stop police brutality; racial justice; Racial justice; police violence; NOT PROVIDED; Racial discrimination; Investigate police shootings of black males; Racial injustice; Stop fatal police shootings; Prosecute Darren Wilson; Police violence; Justice for Michael Brown; Charge Darren Wilson; Stop police shootings; Police reform; protest Michael Brown shooting; Racial Justice; Arrest of officer who shot teenager; police brutality; Stop police violence; Police Brutality; Justice for Vonderrit Myers Jr.; Police brutality; Arrest of white police officer; justice for Michael Brown; Police accountability,200.0,17
2014-10-13,Ferguson,MO,demonstration,Charges against Darren Wilson; Police Violence; Civilian police review board; Mandatory independent investigations of police killings; Police misconduct; Racial Discrimination; Stop police brutality; racial justice; Acknowledge structural racism; Charges against officer who killed Michael Brown; Racial justice; Body cameras for police; End police militarization; Mandatory body cameras; Racial discrimination; Racial injustice; Appoint Special Prosecutor; End to police brutality; Remove Robert McCulloch from Michael Brown investigation; racial violence; Appoint special prosecutor; Independent police shooting investigations; End police brutality; Justice for Michael Brown; End military equipment program for police; Police repentance; Charge Darren Wilson; Charge officer who killed Michael Brown; Independent investigations of police killings; Police violence; Independent police killing investigations; Body cameras for officers; Racial Injustice; Mandatory independent police killing investigations; racial injustice; Body cameras for all officers; Racial Justice; Accountability for police shooting; Civilian review board; Arrest Officer Darren Wilson; police brutality; Police Brutality; Address structural racism; Police brutality; Stop police violence against black males; Accountability for Michael Brown shooting; Civilian review board for police; Police accountability; Arrest Darren Wilson; Address police violence; Racial Violence,,52
2014-10-13,St. Louis,MO,demonstration,Mandatory independent investigations of police killings; Police misconduct; racial justice; Body cameras for all city officers; Racial justice; End white supremacy; police violence; Address systemic problems; Create civilian review board for police; Racial discrimination; Racial injustice; Acknowledge black lives matter; Require body cameras for city officers; Police violence; Justice for Michael Brown; End systematic racism; Stop participation in Defense Department's 1033 program; Implement independent investigations of fatal police shootings; Police body cameras; police accountability; police brutality; End police violence; Create civilian review board; Require body cameras for police officers; Police brutality; Reform police practices; justice for Michael Brown; Civilian review board for police; Police accountability,600.0,17
2014-10-14,Ferguson,MO,demonstration,Right to peaceful assembly; Police Violence; Recognition of structural racism; Address racial profiling; Racial justice; Restore free speech rights; Racial discrimination; Racial injustice; Peaceful protest rights; Justice for Michael Brown; End military equipment program for police; Independent investigations of police killings; Restore civil rights; Body cameras for all officers; Racial Justice; Civilian review board; End police violence; Police brutality; Civilian review board for police; Police accountability,,0
2014-10-15,St. Louis,MO,demonstration,Create civilian review board; Require body cameras for police officers; Implement independent investigations of fatal police shootings; Police reform; Racial justice; End participation in federal military equipment program,,0
2014-10-18,Columbus,OH,demonstration,Racial Discrimination; Fire officer who shot John Crawford III; Challenge Police Use of Force; Racial Justice; Fire Officer Sean Williams; Police Brutality,150.0,0
2014-10-18,Hammond,IN,demonstration,Police Misconduct,,0
2014-10-18,Kansas City,MO,demonstration,Stop gun violence; Community safety; Gun violence; Protect children,,0
2014-10-18,Saratoga Springs,UT,demonstration,Prevent future police violence; Police Use of Force; Hold officers accountable for shooting; Civilian Review Boards; Body cameras for police officers; Civilian review boards; Body cameras for police; Investigate Darrien Hunt shooting; police violence; Racial discrimination; Racial injustice; Answers about Darrien Hunt Shooting; Police violence; racial discrimination; Justice for Darrien Hunt; Answers about Darrien Hunt's shooting; Racial Justice; police brutality; Citizen review boards; Racial profiling; Police Body Cameras; Police brutality; justice now; Police accountability,60.0,0
2014-10-20,Ferguson,MO,demonstration,Racial injustice; Arrest of Officer Darren Wilson; Police violence,,2
2014-10-20,St. Louis,MO,demonstration,Transform race relations; Raise minimum wage; Police brutality; Economic inequality; Racial justice; End police brutality,,0
2014-10-21,Red Bank,TN,demonstration,Police brutality; Police misconduct; Fire Officer Mark Kaylor,,0
2014-10-22,Atlanta,GA,demonstration,Resist police brutality; Protest mass incarceration; Resistance to mass incarceration; Racial justice; Police violence,,0
2014-10-22,Chattanooga,TN,demonstration,Civil rights; Address police brutality; Police brutality; Racial justice; End police brutality,,4
2014-10-22,Denver,CO,demonstration,Hold Denver police accountable; Police brutality,,0
2014-10-22,East Lansing,MI,demonstration,racial discrimination; Dispose of military-grade weapons; police brutality; Remove armored vehicles from police department,,0
2014-10-22,Ferguson,MO,demonstration,Police brutality; Indict Officer Darren Wilson; Racial justice; Police violence; Protest against police brutality,,2
2014-10-22,Greensboro,NC,demonstration,End mass incarceration; Mass incarceration; Racial discrimination; Stop police brutality; Police brutality; Challenge racial profiling,,0
2014-10-22,Lake Worth,FL,demonstration,Investigate excessive force; Increase Guatemalan representation in police force; Fire Deputy Russell Brinson; Racial discrimination; Police brutality; Investigate racial prejudice; Police accountability,,0
2014-10-22,Lexington,KY,demonstration,Continued awareness; Unity; Change; Police brutality; Racial justice,60.0,0
2014-10-22,Los Angeles,CA,demonstration,Reform criminal justice system; Criminal Justice Reform; Pass Proposition 47; Racial Justice,,0
2014-10-22,Oakland,CA,demonstration,Stop mass incarceration; police violence; Mass incarceration; Stop police brutality; Police brutality; racial justice; Stop police terror; Racial justice; Police violence,200.0,2
2014-10-22,Rockford,IL,demonstration,police brutality; racial justice; End racial profiling; Stop police brutality,,0
2014-10-22,Rohnert Park,CA,demonstration,Police brutality; Justice for Andy Lopez,,0
2014-10-22,Sacramento,CA,demonstration,Police brutality; Reform jail practices; Criminal justice system; End police brutality,,0
2014-10-22,Salt Lake City,UT,demonstration,Full review of police deadly force tactics; Federal investigation into Darrien Hunt's shooting; Racial Justice; Independent review board; Police Brutality,,0
2014-10-22,Santa Rosa,CA,demonstration,Racial injustice; Police violence; Remove Deputy Gelhaus from duty; Justice for Andy Lopez,200.0,0
2014-10-22,Seattle,WA,demonstration,police violence; improve community-police relationship,,0
2014-10-23,Ferguson,MO,demonstration,Police brutality; Racial justice,,5
2014-10-24,Lake Station,IN,demonstration,Challenge police department decision; Local government corruption; Police misconduct; Mayor Soderquist's resignation; Justice for Bill Taylor,,0
2014-10-25,Cleburne,TX,demonstration,Officer Kevin Dupre's termination; Animal rights; Investigate dog shooting; Police misconduct,100.0,0
2014-10-25,Phoenix,AZ,demonstration,Police violence; Protest police killings,,6
2014-10-28,Milwaukee,WI,demonstration,Criminal charges against Officer Manney; Police brutality; Mental health; Improved police training for mental illness; Better mental health services; Racial justice,,0
2014-10-29,East Lansing,MI,demonstration,Reduce military equipment usage; racial justice; Police body cameras; Address racial profiling; police accountability,,0
2014-11-01,Ann Arbor,MI,demonstration,Open doors to unauthorized students; Immigration; Educational access,,0
2014-11-01,Chicago,IL,demonstration,Racial discrimination; Prosecution of Officer Van Dyke; Police brutality; Racial injustice; Police accountability; Police violence,,0
2014-11-01,Clayton,MO,demonstration,Racial injustice; End to violence; Police violence,50.0,0
2014-11-01,Ferguson,MO,demonstration,Indict police officer involved in Michael Brown shooting; Systemic racism; Racial discrimination; Racial inequality; Racial injustice; Investigate police misconduct; Police officer indictment; Criminal justice reform; Accountability; Police brutality; Police accountability; Racial justice; Police violence; Justice for Michael Brown,90.0,0
2014-11-01,New York City,NY,demonstration,Police brutality; Police accountability; Civil rights,,0
2014-11-01,St. Louis,MO,demonstration,police brutality; racial justice; Address police violence,,0
2014-11-03,Ferguson,MO,demonstration,Police violence; Racial discrimination,,0
